"RegionID";"RegionName";"State";"Metro";"CountyName";"SizeRank";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
5976;"Milwaukee";"WI";"Milwaukee";"Milwaukee";24;67900.0;69550.0;72475.0;74833.0;80117.0;86267.0;92242.0;102258.0;115375.0;128342.0;135817.0;134783.0;129350.0;116333.0;109425.0;97083.0;88683.0;91267.0;92000.0;94033.0;96350.0
7481;"Tucson";"AZ";"Tucson";"Pima";25;91600.0;92758.0;95533.0;99617.0;103733.0;109833.0;118483.0;128242.0;142808.0;176417.0;207083.0;200033.0;179150.0;162175.0;145842.0;128533.0;123708.0;133775.0;142800.0;146017.0;150938.0
13373;"Portland";"OR";"Portland";"Multnomah";26;124444.0;132967.0;142950.0;149975.0;155400.0;163433.0;175583.0;189825.0;207367.0;238500.0;272808.0;294750.0;283783.0;273458.0;251575.0;233058.0;237650.0;262142.0;286150.0;320658.0;368938.0
33225;"Oklahoma City";"OK";"Oklahoma City";"Oklahoma";27;65800.0;67017.0;70425.0;74117.0;77917.0;80775.0;83658.0;88108.0;92492.0;97983.0;103583.0;106492.0;109142.0;107275.0;114950.0;113067.0;114275.0;115850.0;118558.0;123742.0;129025.0
40152;"Omaha";"NE";"Omaha";"Douglas";28;90622.0;94550.0;100700.0;110067.0;115633.0;118975.0;117858.0;121033.0;125500.0;129625.0;132917.0;132575.0;129783.0;126683.0;128250.0;124450.0;123867.0;127858.0;130567.0;136083.0;142475.0
23429;"Albuquerque";"NM";"Albuquerque";"Bernalillo";29;116611.0;119808.0;122242.0;123942.0;126433.0;128325.0;132742.0;135050.0;141617.0;155158.0;180433.0;197667.0;195008.0;190550.0;179292.0;167367.0;158942.0;161225.0;163808.0;166233.0;170375.0
18203;"Fresno";"CA";"Fresno";"Fresno";30;89733.0;88808.0;88425.0;90342.0;96017.0;105417.0;122367.0;152117.0;197583.0;257092.0;282392.0;254133.0;206892.0;166192.0;148117.0;131683.0;130992.0;151075.0;171992.0;183917.0;192275.0
20288;"Sacramento";"CA";"Sacramento";"Sacramento";31;101122.0;102283.0;108250.0;115167.0;128125.0;152275.0;180900.0;222083.0;273242.0;335358.0;344008.0;309333.0;243125.0;193750.0;170692.0;150508.0;150092.0;187317.0;222367.0;245083.0;269750.0
19331;"Mesa";"AZ";"Phoenix";"Maricopa";32;97833.0;104008.0;110025.0;115317.0;121650.0;126933.0;132675.0;138750.0;151250.0;204950.0;243083.0;230058.0;196383.0;161142.0;135867.0;122967.0;134733.0;162542.0;177250.0;189358.0;203163.0
46298;"Long Beach";"CA";"Los Angeles-Long Beach-Anaheim";"Los Angeles";33;148344.0;153550.0;167667.0;183017.0;207858.0;230283.0;267650.0;321292.0;413550.0;503417.0;551850.0;526608.0;442100.0;387017.0;389750.0;366233.0;361350.0;416900.0;462283.0;486458.0;515425.0
18795;"Kansas City";"MO";"Kansas City";"Jackson";34;90211.0;105033.0;109167.0;115608.0;125742.0;137317.0;144117.0;147167.0;153258.0;157242.0;157192.0;158983.0;150850.0;125233.0;112625.0;106358.0;100675.0;101450.0;102208.0;104208.0;109588.0
41515;"Virginia Beach";"VA";"Virginia Beach";"Virginia Beach City";35;106722.0;108267.0;112108.0;116092.0;121833.0;129342.0;141083.0;156633.0;190158.0;244242.0;271825.0;274917.0;265483.0;249475.0;244067.0;235675.0;233725.0;236033.0;241258.0;246642.0;249738.0
4172;"Colorado Springs";"CO";"Colorado Springs";"El Paso";36;127856.0;129675.0;133733.0;139900.0;149383.0;161192.0;168508.0;173717.0;180442.0;190825.0;198400.0;202583.0;196175.0;184400.0;190233.0;185008.0;186575.0;197567.0;206158.0;215908.0;228313.0
37211;"Atlanta";"GA";"Atlanta";"Fulton";37;92289.0;96733.0;108625.0;129442.0;149183.0;162125.0;167508.0;169875.0;176500.0;187883.0;196825.0;194192.0;179708.0;159633.0;148367.0;129642.0;119283.0;132508.0;154367.0;174033.0;189038.0
12700;"Miami";"FL";"Miami-Fort Lauderdale";"Miami-Dade";38;98467.0;105225.0;112042.0;115942.0;125767.0;141900.0;164267.0;188650.0;227483.0;297917.0;352267.0;362767.0;305033.0;224192.0;179883.0;168467.0;187933.0;228258.0;259408.0;277467.0;289938.0
13072;"Oakland";"CA";"San Francisco";"Alameda";39;143178.0;149467.0;159975.0;176933.0;231517.0;280217.0;315867.0;361558.0;422567.0;503817.0;539575.0;529542.0;438367.0;372258.0;351850.0;312008.0;313567.0;393850.0;462017.0;538317.0;602575.0
20859;"Tulsa";"OK";"Tulsa";"Tulsa";40;60789.0;62983.0;66825.0;70867.0;75625.0;79942.0;82250.0;84733.0;86000.0;88725.0;90925.0;91917.0;92325.0;91692.0;96008.0;94683.0;94442.0;94508.0;94950.0;100517.0;106338.0
